,AAPL,MSFT,NVDA,SPY,JPM
597,177.79,321.01,40.85,445.65,154.45
598,179.46,324.04,43.75,448.11,154.77
599,177.45,321.86,43.94,442.89,150.83
600,176.57,320.4,43.49,439.64,150.19
601,174.0,316.88,43.34,436.29,148.63
602,174.49,316.48,43.3,436.5,148.97
603,175.84,321.88,46.97,439.34,149.48
604,177.23,322.46,45.67,438.15,146.38
605,181.12,327.0,47.12,443.03,147.37
606,176.38,319.97,47.16,436.89,147.23
607,178.61,322.98,46.02,439.97,147.05
608,180.19,323.7,46.84,442.76,147.56
609,184.12,328.41,48.78,449.16,148.76
610,187.65,328.79,49.26,451.01,148.16
611,187.87,327.76,49.36,450.35,146.33
612,189.46,328.66,48.51,451.19,146.82
613,189.7,333.55,48.55,449.24,145.2
614,182.91,332.88,47.06,446.22,144.96
615,177.56,329.91,46.24,444.85,143.72
616,178.18,334.27,45.57,445.52,143.83
617,179.36,337.94,45.18,448.45,144.46
618,176.3,331.77,44.87,445.99,146.34
619,174.21,336.06,45.49,446.51,146.41
620,175.74,338.7,45.58,450.36,149.25
621,175.01,330.22,43.9,443.37,148.81
622,177.97,329.06,43.97,443.63,149.12
623,179.07,328.65,43.52,442.71,148.93
624,175.49,320.77,42.24,438.64,148.3
625,173.93,319.53,41.02,431.39,147.14
626,174.79,317.01,41.61,430.42,145.73
627,176.08,317.54,42.22,432.23,146.45
628,171.96,312.14,41.91,425.88,144.93
